Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
1/12/2013 3:04,15.1S,155.6W,36.1,,,,,4.80E+10,0.16
12/30/2012 7:25,17.3N,83.6W,,,,,,1.98E+11,0.55
11/20/2012 20:37,2.5N,29.6E,33.3,14.3,-12.2,-5.3,5.3,2.50E+10,0.089
11/20/2012 6:25,8.0S,86.0W,,,,,,1.20E+11,0.36
10/19/2012 16:26,75.4S,49.6E,29.3,13.2,-2.3,-3.9,12.4,2.30E+10,0.082
10/9/2012 0:54,51.2N,84.6W,27.8,13.5,3.4,12,5.1,2.10E+11,0.58
10/3/2012 22:50,41.5S,21.9W,,17,-2.4,5.5,15.9,2.80E+11,0.75
10/2/2012 16:38,8.1S,111.9W,35,15.4,1.4,15.3,1,4.70E+11,1.2
9/28/2012 5:44,6.9S,73.7E,,,,,,3.80E+10,0.13
9/18/2012 19:34,1.2N,52.2W,28.1,18.3,-1.9,14.1,-11.5,2.44E+11,0.67
9/11/2012 22:07,18.9S,105.2E,,,,,,5.20E+10,0.17
9/10/2012 1:03,69.8S,111.7W,23.8,16.9,-10.2,-5.2,12.4,2.30E+10,0.082
8/27/2012 6:57,18.3S,64.2E,38.7,28.9,-8,-23.7,-14.5,6.80E+10,0.22
8/26/2012 14:55,11.8N,117.0E,36,12.7,5,-11.6,-0.7,2.49E+11,0.68
7/27/2012 4:19,63.1N,172.3E,27.2,,,,,3.40E+10,0.12
7/25/2012 7:48,36.4N,41.5E,26.8,18.5,0.8,2,-18.4,1.33E+11,0.39
5/25/2012 11:31,41.8S,36.2W,,,,,,6.00E+10,0.19
5/15/2012 11:04,61.8S,135.5W,33.3,17.1,-0.8,1.1,17,1.32E+11,0.39
5/4/2012 21:54,76.7N,10.6W,,,,,,2.29E+11,0.63
4/23/2012 22:01,36.2N,107.4E,25.2,,,,,4.40E+10,0.15
4/21/2012 16:08,15.8S,174.8W,,,,,,1.43E+11,0.42
4/19/2012 22:12,5.5N,16.8E,,,,,,3.00E+10,0.1
4/2/2012 16:50,28.1N,95.2W,,,,,,3.20E+10,0.11
3/12/2012 6:40,2.5N,139.8E,25,11.8,0.1,-11.8,0.3,9.90E+10,0.3
3/3/2012 21:28,7.8N,2.7E,20.4,,,,,1.01E+11,0.31
3/1/2012 3:12,46.9N,29.8W,,,,,,2.20E+10,0.079
2/24/2012 19:11,22.7S,30.8E,,,,,,3.70E+10,0.13
2/17/2012 10:47,3.2S,39.9W,45.6,,,,,1.54E+11,0.44
2/12/2012 5:25,31.7S,54.9E,61,,,,,1.40E+11,0.41
2/4/2012 14:42,32.4N,0.1E,34.2,12.2,-3.9,10.9,4,1.50E+11,0.43
1/15/2012 12:26,64.1S,109.9E,26.3,12.3,-1.9,5.1,11,2.10E+10,0.076
1/11/2012 2:23,32.2N,88.5E,,,,,,8.50E+10,0.26
12/19/2011 11:35,30.2S,52.6E,36.1,,,,,1.35E+11,0.4
12/14/2011 5:01,62.9S,89.6E,32.4,,,,,5.00E+10,0.16
11/20/2011 5:25,27.9S,116.3E,,,,,,2.30E+10,0.082
10/12/2011 7:13,26.4S,78.4W,,,,,,3.60E+10,0.12
9/13/2011 23:36,19.9S,13.8W,21.3,16.7,-3.7,1.8,16.2,6.70E+10,0.21
8/31/2011 9:44,18.6N,5.1W,,,,,,2.70E+10,0.095
8/20/2011 20:01,27.2S,2.8W,,,,,,2.30E+10,0.082
8/4/2011 7:25,40.7S,86.7W,63,,,,,2.80E+10,0.098
7/27/2011 23:00,45.3S,63.5E,29.6,,,,,4.40E+10,0.15
7/5/2011 15:42,29.1N,139.7E,40.7,,,,,6.50E+10,0.21
7/4/2011 9:18,51.7S,175.0E,,,,,,2.90E+10,0.1
6/16/2011 11:51,67.3N,21.4W,40.5,,,,,2.40E+10,0.086
5/25/2011 5:40,4.1N,14.0E,59,11.6,-3.4,-10.8,2.4,2.28E+12,4.8
5/16/2011 13:39,1.2S,92.8E,,,,,,2.00E+10,0.073
4/27/2011 20:38,1.4N,126.6W,28.7,,,,,2.20E+11,0.61
4/6/2011 8:30,71.1N,43.5W,22.2,12.7,3.3,11.8,-3.5,1.48E+11,0.43
3/24/2011 20:23,0.6N,127.5W,59,,,,,5.80E+10,0.19
3/23/2011 4:16,16.8S,85.6W,,,,,,2.20E+10,0.079
3/1/2011 10:37,53.5N,103.9E,30.6,11.9,-6.7,-1.1,-9.8,3.70E+10,0.13
2/21/2011 5:07,26.3N,43.7E,44.4,18,10.3,-14.8,0.1,3.90E+10,0.13
2/12/2011 11:00,7.8N,95.3W,,,,,,2.00E+10,0.073
1/21/2011 15:11,18.9N,44.6W,61,,,,,7.20E+10,0.23
1/8/2011 19:38,33.3N,125.8W,48,,,,,2.90E+10,0.1
12/25/2010 23:24,38.0N,158.0E,26,18.1,18,-2,-4,2.00E+13,33
12/14/2010 0:27,4.9S,175.5E,24,,,,,3.90E+10,0.13
12/9/2010 2:54,54.5S,169.7W,66,,,,,6.30E+10,0.2
12/1/2010 6:31,72.5S,144.9E,33.3,,,,,1.33E+11,0.39
11/21/2010 14:45,1.9N,143.3E,50,,,,,8.10E+10,0.25
11/19/2010 7:25,10.3S,148.8E,30,,,,,3.30E+10,0.11
11/10/2010 8:26,74.5N,77.7W,,,,,,6.80E+10,0.22
11/9/2010 13:05,56.3S,16.7W,37,,,,,8.60E+10,0.27
11/9/2010 6:56,14.0S,160.0W,26,,,,,2.00E+10,0.073
10/27/2010 11:27,14.1S,67.7E,35.2,,,,,1.45E+11,0.42
9/24/2010 12:02,67.4S,50.6W,,,,,,5.00E+10,0.16
9/18/2010 5:04,7.4N,36.7E,,,,,,6.70E+10,0.21
9/8/2010 19:51,13.9S,65.5W,46.3,,,,,6.50E+10,0.21
9/5/2010 23:37,25.9S,49.0E,35.2,,,,,6.83E+11,1.7
9/3/2010 12:04,61.0S,146.7E,33.3,12.3,9.8,-3.5,6.5,1.75E+12,3.8
8/17/2010 4:19,20.7N,114.3W,33.3,,,,,2.10E+10,0.076
7/15/2010 1:49,60.9N,178.1W,,,,,,2.40E+10,0.086
7/6/2010 23:54,34.1S,174.5W,26,15.7,12.1,10,0.2,7.56E+12,14
6/26/2010 6:04,0.5S,133.2E,50,,,,,1.13E+11,0.34
6/21/2010 6:42,22.5S,120.9W,,,,,,1.63E+11,0.47
6/17/2010 4:24,26.1S,100.0E,42,,,,,1.19E+11,0.35
4/17/2010 2:21,13.1N,173.0W,,,,,,5.60E+10,0.18
4/16/2010 4:38,1.8N,176.9W,22.2,18.8,12.4,-13.2,-5.2,8.44E+11,2
4/6/2010 18:33,52.8N,146.5W,,,,,,8.00E+10,0.25
3/18/2010 16:11,32.4S,51.8W,,,,,,1.75E+11,0.5
3/14/2010 18:44,33.8N,90.2W,35.6,,,,,4.20E+10,0.14
3/8/2010 22:44,18.2N,110.1E,53,,,,,3.00E+10,0.1
3/8/2010 22:02,32.0N,92.9W,52,24.5,19.1,11,10.7,3.23E+11,0.85
2/28/2010 22:24,48.7N,21.0E,37,15.1,-11.7,2.7,-9.1,1.53E+11,0.44
2/26/2010 22:46,37.3S,166.0W,,,,,,2.37E+11,0.65
2/24/2010 19:55,2.6S,102.2W,,,,,,9.30E+10,0.28
1/15/2010 19:17,8.3S,27.0E,25,14,-9.1,6,8.8,4.92E+11,1.2
12/31/2009 12:50,37.9N,178.3W,20.7,,,,,1.02E+11,0.31
11/25/2009 1:36,52.8S,136.5E,,,,,,6.40E+10,0.2
11/21/2009 20:53,22.0S,29.2E,38,32.1,3,-17,27,1.00E+13,18
11/18/2009 7:07,40.4N,113.2W,31.5,,,,,7.36E+11,1.8
11/7/2009 11:31,45.5N,157.7W,,,,,,2.20E+10,0.079
11/7/2009 10:41,24.0N,64.1E,37,,,,,4.20E+10,0.14
10/11/2009 12:49,78.3S,70.2E,27.8,,,,,7.10E+10,0.22
10/8/2009 2:57,4.2S,120.6E,19.1,19.2,14,-16,-6,2.00E+13,33
9/27/2009 22:22,36.0S,67.6W,37,,,,,8.90E+10,0.27
9/18/2009 20:13,7.7N,29.5W,,,,,,1.44E+11,0.42
9/4/2009 2:23,42.5N,110.0E,28.3,24,19.2,-11.6,-8.5,9.65E+11,2.3
8/23/2009 21:17,67.7S,18.3E,34,12.2,-6.9,5.3,8.5,2.80E+11,0.75
7/31/2009 2:13,8.9N,121.9W,,,,,,2.50E+10,0.089
7/16/2009 6:39,24.4S,59.8W,32.2,,,,,7.27E+11,1.8
6/27/2009 13:08,26.6S,12.6W,26.1,15.2,-11.6,1.6,9.7,3.20E+10,0.11
6/18/2009 4:39,23.7S,16.0W,57.4,,,,,3.30E+10,0.11
6/9/2009 22:42,54.9N,152.7W,34.2,,,,,2.81E+11,0.76
5/31/2009 6:05,19.7N,121.0W,,,,,,1.43E+11,0.42
5/4/2009 11:39,36.4N,160.4W,40.7,,,,,1.40E+11,0.41
4/20/2009 4:01,6.0N,84.3E,,,,,,2.20E+10,0.079
4/10/2009 18:42,44.7S,25.7E,32.4,19.1,-18.9,2.6,0.3,2.70E+11,0.73
2/20/2009 12:15,64.9S,70.0W,,,,,,5.00E+10,0.16
2/7/2009 19:51,56.6N,69.8E,40,15.4,-2.4,-1.9,-15.1,1.60E+12,3.5
1/12/2009 22:24,47.8N,44.3W,,,,,,4.80E+10,0.16
1/10/2009 7:42,64.0S,122.8E,26.5,,,,,2.30E+10,0.082
12/24/2008 15:51,68.9S,102.0W,21.1,24.1,-13.4,18,8.8,3.50E+10,0.12
12/12/2008 11:36,7.0S,9.7W,50,,,,,2.16E+11,0.6
11/24/2008 22:01,57.9S,146.1E,34.8,23.7,21.5,10,0.4,1.46E+11,0.42
11/21/2008 0:26,53.1N,109.9W,28.2,12.9,3.9,-4.1,-11.6,1.42E+11,0.41
11/18/2008 9:41,29.4S,75.9E,35.2,22.4,-4,-15.2,-16,2.50E+10,0.089
11/9/2008 2:38,14.5N,112.7E,29.6,,,,,2.22E+11,0.61
10/21/2008 2:20,32.8N,165.6W,29.6,11.3,9.6,5.8,1.5,4.60E+10,0.15
10/10/2008 9:34,57.3S,17.0E,21.4,,,,,1.80E+11,0.51
10/7/2008 2:45,20.9N,31.4E,38.9,13.3,-9,9,3.8,3.95E+11,1
8/16/2008 14:40,11.3N,97.2E,,,,,,1.31E+11,0.38
8/12/2008 11:44,11.6S,175.0W,,,,,,2.00E+10,0.073
8/7/2008 6:07,18.5N,180.0E,45.4,13.8,6.5,-12.1,1.7,4.10E+10,0.14
7/23/2008 14:45,38.6N,68.0E,31.5,14.5,-7.7,-8.2,-9.1,1.21E+11,0.36
7/22/2008 19:34,17.8S,89.2W,54.4,,,,,6.10E+10,0.2
7/8/2008 15:55,72.8N,147.3E,52.2,21.7,-12.9,1.9,-17.4,6.60E+10,0.21
7/1/2008 17:40,37.1N,115.7W,36.1,9.8,2.8,1.7,-9.2,3.60E+10,0.12
6/27/2008 2:01,26.9S,17.7W,33.7,23.1,-17.9,13,6.6,1.72E+11,0.49
6/18/2008 13:45,6.1N,103.1E,,,,,,2.10E+10,0.076
5/29/2008 21:23,15.7N,83.5W,,,,,,2.10E+10,0.076
5/24/2008 10:18,0.8N,162.0E,37,14.2,7.9,3.1,11.4,1.50E+11,0.43
5/22/2008 20:50,46.9N,134.5E,,,,,,2.10E+10,0.076
4/30/2008 1:18,33.6S,35.1W,,,,,,2.00E+10,0.073
3/15/2008 11:29,28.0N,41.5W,26.7,12.9,-4.1,4.8,-11.2,5.00E+10,0.16
2/19/2008 13:30,48.9N,119.8W,,,,,,2.00E+10,0.073
2/17/2008 12:19,74.9N,73.4W,40.4,13.9,-5.8,-10.7,-6.7,1.10E+11,0.33
1/9/2008 3:53,66.8S,67.3W,31.5,11.6,4.3,5.7,9.1,4.10E+10,0.14
12/26/2007 6:46,61.6S,158.9W,,,,,,1.36E+11,0.4
12/20/2007 17:00,51.3N,115.4E,,,,,,1.22E+11,0.36
10/25/2007 19:35,40.9S,91.3E,46.3,,,,,5.80E+10,0.19
10/12/2007 9:14,88.5N,116.6E,37,18.4,-4.5,-14.1,-10.9,3.30E+10,0.11
10/7/2007 13:31,35.2S,125.6E,,,,,,5.80E+10,0.19
9/22/2007 17:57,49.2S,85.5W,30.2,16.9,-9.2,13.6,3.8,2.37E+11,0.65
6/11/2007 9:47,23.4S,170.9W,35.2,17,16.7,-2.1,-2.2,4.90E+10,0.16
6/8/2007 13:32,52.0S,175.3E,38.9,,,,,2.35E+11,0.65
6/7/2007 21:28,21.9N,53.1E,29.6,,,,,3.10E+10,0.11
5/16/2007 16:20,4.5S,111.7E,,,,,,3.80E+10,0.13
5/16/2007 4:45,42.4S,164.0E,31.5,,,,,4.00E+11,1
5/4/2007 17:52,22.9N,109.4E,48,,,,,1.75E+11,0.5
4/18/2007 12:44,83.7S,171.2W,38,24.4,-5.3,-2.5,23.7,1.12E+11,0.33
3/17/2007 6:48,7.1N,4.1E,32.5,14.5,-7.3,-1.9,-12.4,4.00E+10,0.13
3/15/2007 2:20,44.1S,148.4W,,,,,,2.50E+10,0.089
2/2/2007 12:48,24.0N,37.2W,35.5,,,,,3.40E+11,0.89
1/26/2007 22:22,3.7N,99.7E,,,,,,1.47E+11,0.43
1/22/2007 7:24,45.4N,53.5E,32,13.4,-3.3,-12.8,-1.9,7.60E+10,0.24
1/18/2007 13:51,5.3N,164.3W,34.1,,,,,3.20E+10,0.11
1/17/2007 9:50,8.7S,50.8E,33.3,,,,,5.48E+11,1.4
1/1/2007 11:43,44.4N,116.5E,53,,,,,3.60E+10,0.12
12/9/2006 6:31,26.2N,26.0E,26.5,15.9,4.9,-15,1.6,7.41E+12,14
12/7/2006 11:42,14.0N,140.0W,,,,,,2.10E+10,0.076
12/1/2006 6:09,13.0S,30.7E,,,,,,6.30E+10,0.2
11/13/2006 15:16,44.0S,43.3E,,,,,,2.30E+10,0.082
10/24/2006 8:42,1.9S,2.7W,43,,,,,2.25E+11,0.62
10/14/2006 18:10,49.4N,175.0W,44.4,23.9,4.9,23.4,-1,2.58E+11,0.7
10/9/2006 4:45,47.0S,78.9E,22.2,,,,,4.10E+10,0.14
10/7/2006 12:18,23.0S,61.8W,40.7,,,,,4.10E+10,0.14
10/2/2006 19:10,14.0N,53.1E,42,,,,,9.00E+10,0.28
9/27/2006 8:33,32.0S,60.2E,48.1,,,,,1.07E+11,0.32
9/23/2006 18:52,29.0S,108.0W,,,,,,1.21E+11,0.36
9/2/2006 4:26,14.0S,109.1E,44.1,14.2,10,-9.9,1.5,1.23E+12,2.8
8/29/2006 1:38,44.0S,162.0W,40.7,,,,,9.20E+10,0.28
8/18/2006 0:03,43.0S,33.4E,47.2,,,,,3.20E+10,0.11
8/17/2006 10:43,11.0S,165.7E,48.2,,,,,2.56E+11,0.7
8/15/2006 10:52,4.9N,49.6E,32.7,,,,,4.70E+10,0.16
8/9/2006 4:30,23.1S,53.7E,37,,,,,1.02E+12,2.4
7/15/2006 23:55,78.3S,5.0W,29.6,12.4,0.1,2,12.2,8.50E+10,0.26
7/15/2006 15:22,31.1N,45.6E,38.9,30.2,9.2,-1.2,-28.7,1.63E+11,0.47
6/7/2006 0:06,69.2N,22.5E,40.7,19.6,6.1,4.6,-18,5.90E+10,0.19
5/21/2006 7:51,11.6S,25.5W,,,,,,2.63E+11,0.71
5/6/2006 15:39,60.2S,152.3W,35.2,,,,,1.28E+11,0.38
4/8/2006 13:16,17.3N,113.2W,33.3,,,,,1.27E+11,0.37
4/4/2006 11:30,26.6N,26.6W,25,,,,,2.40E+12,5
3/14/2006 3:21,7.0N,64.6W,35.2,,,,,1.44E+11,0.42
2/6/2006 1:57,54.5S,18.1E,35.2,,,,,1.19E+12,2.7
2/4/2006 8:38,36.9N,143.6W,38.9,19.8,-8.8,3.4,-17.4,1.00E+11,0.3
1/28/2006 3:33,51.7S,56.4E,37,18.7,8.4,-16.4,3.2,7.40E+11,1.8
1/27/2006 1:27,58.7N,74.7E,20,,,,,4.50E+10,0.15
1/26/2006 0:00,79.8S,111.0W,37,,,,,5.30E+10,0.17
1/10/2006 23:25,29.8N,12.7W,32.4,16.9,-9.9,-6.3,-12.2,2.80E+10,0.098
1/8/2006 5:20,7.6N,28.2W,,,,,,9.40E+10,0.29
12/29/2005 10:05,3.0S,154.9W,42.2,20.7,18.6,8.5,3.2,1.90E+11,0.53
12/24/2005 15:30,54.0S,17.3E,66,,,,,1.81E+11,0.51
12/3/2005 12:45,33.8S,117.4E,32.2,17,-12.1,-9.6,7.2,8.80E+10,0.27
12/1/2005 10:40,6.4S,155.8W,,,,,,3.20E+10,0.11
11/29/2005 7:33,7.6N,58.2W,59.3,,,,,3.20E+10,0.11
11/15/2005 5:19,26.3N,113.4W,32.4,,,,,2.50E+10,0.089
11/11/2005 20:34,21.4N,134.1W,29.6,,,,,4.20E+10,0.14
11/9/2005 7:33,31.0S,145.9E,30.7,13.8,13.5,-2.7,-0.7,7.30E+10,0.23
11/2/2005 7:04,33.9N,154.9W,68.5,,,,,3.20E+10,0.11
11/2/2005 5:16,22.9N,123.8W,74,,,,,6.70E+10,0.21
10/26/2005 21:30,36.3S,80.5W,16.7,,,,,1.38E+11,0.4
9/30/2005 19:04,2.8S,84.1W,53,,,,,2.20E+10,0.079
9/14/2005 1:08,11.6N,27.3E,33.3,,,,,2.50E+10,0.089
9/2/2005 7:59,13.5N,73.1E,,,,,,8.20E+10,0.25
8/9/2005 14:35,21.5S,56.2E,37,16.9,-16.3,4.3,1.4,2.50E+10,0.089
7/1/2005 22:36,49.8S,33.1E,50,,,,,3.10E+10,0.11
6/18/2005 19:40,47.9N,85.6E,,,,,,2.30E+10,0.082
6/5/2005 1:56,34.8N,90.9E,,,,,,4.10E+10,0.14
6/3/2005 8:15,31.0S,90.3W,29.6,26.2,-1.5,25.3,6.7,8.20E+10,0.25
5/27/2005 14:12,48.9S,145.1E,50.5,,,,,2.00E+10,0.073
5/7/2005 9:31,75.8S,163.7E,15.2,16.6,9.6,-9.7,9.4,2.60E+10,0.092
5/2/2005 20:10,17.7N,36.0E,,,,,,4.60E+10,0.15
4/22/2005 11:18,20.9N,36.7W,37,,,,,2.20E+10,0.079
4/19/2005 7:37,50.2S,146.4W,38.5,16.8,9.3,13.8,2.5,2.32E+11,0.64
4/15/2005 6:54,43.8S,73.9W,39,,,,,2.10E+10,0.076
4/14/2005 14:05,4.9N,176.0W,26.5,,,,,7.10E+10,0.22
4/11/2005 5:20,34.2S,95.7W,37,,,,,1.06E+11,0.32
4/6/2005 1:30,42.7S,154.6E,70,,,,,2.90E+10,0.1
4/3/2005 1:45,1.0S,112.4E,59.2,,,,,2.19E+11,0.61
4/2/2005 22:52,14.1N,169.7E,27.2,,,,,2.04E+11,0.57
3/31/2005 22:15,42.8N,36.2W,,,,,,3.80E+10,0.13
3/18/2005 16:48,9.7S,34.7W,33,,,,,2.70E+10,0.095
3/9/2005 15:47,21.4S,157.9W,44.4,,,,,5.30E+10,0.17
3/9/2005 12:49,14.3N,142.7E,30.7,,,,,4.00E+10,0.13
2/17/2005 22:52,48.0N,161.5W,42.5,,,,,1.00E+11,0.3
1/19/2005 1:43,27.5S,164.9W,40.7,,,,,1.41E+11,0.41
1/2/2005 23:09,21.3S,154.7E,35.2,21.5,20.2,-3.3,6.6,1.19E+11,0.35
1/1/2005 3:44,32.7N,12.4E,31.8,,,,,4.54E+11,1.2
12/29/2004 7:11,8.5S,171.8E,,,,,,9.00E+10,0.28
12/13/2004 11:35,9.7S,155.3E,,,,,,3.90E+10,0.13
12/11/2004 15:36,36.0N,104.1E,,,,,,3.00E+10,0.1
11/30/2004 8:32,61.0N,171.0W,,,,,,1.81E+11,0.51
10/7/2004 13:14,27.3S,71.5E,35,19.2,-15.3,1,11.6,1.04E+13,18
10/4/2004 4:39,3.7N,150.9W,,,,,,7.10E+10,0.22
9/28/2004 8:57,0.2N,101.1W,,,,,,6.20E+10,0.2
9/3/2004 12:07,67.7S,18.2E,31.5,,,,,7.26E+12,13
8/22/2004 10:01,51.9S,22.7E,37,,,,,1.44E+12,3.2
6/12/2004 7:13,21.7N,175.3E,,,,,,1.04E+11,0.31
6/5/2004 20:34,1.3N,174.4W,43,19.5,9.4,17,-1.5,1.81E+12,3.9
6/3/2004 9:40,48.9N,120.4W,,,,,,5.40E+10,0.18
5/18/2004 11:12,28.1S,47.4W,,,,,,3.94E+11,1
5/17/2004 2:08,18.9S,28.3E,44,,,,,5.50E+10,0.18
4/22/2004 21:19,15.2S,55.1E,,,,,,1.39E+11,0.41
4/22/2004 4:21,44.3S,83.3E,29.6,16.3,8.5,-12.1,-6.8,6.24E+11,1.5
4/6/2004 3:24,12.0S,162.8E,35,25.6,10.5,-23.2,-2.9,4.33E+11,1.1
3/26/2004 16:35,7.6S,155.1E,46,,,,,2.40E+10,0.086
3/25/2004 9:39,4.8S,21.0E,,,,,,2.10E+10,0.076
2/2/2004 18:52,18.3S,52.3E,,,,,,3.00E+10,0.1
1/22/2004 1:06,50.6S,157.8E,37,,,,,2.32E+11,0.64
1/2/2004 4:27,28.2S,3.2E,63,,,,,1.34E+11,0.39
12/9/2003 22:36,67.1S,90.8W,,,,,,6.43E+11,1.6
11/26/2003 2:00,22.9S,22.7E,32,,,,,3.50E+10,0.12
11/10/2003 13:54,64.5S,136.2E,23,20.1,14.8,-8.7,10.4,5.18E+11,1.3
11/1/2003 14:09,51.4S,151.7E,,,,,,7.30E+10,0.23
9/27/2003 12:59,21.0N,86.6E,26,18.2,-1,-5.4,-17.3,2.15E+12,4.6
9/2/2003 20:00,51.3N,161.0W,,,,,,3.85E+11,1
8/17/2003 13:16,39.0S,34.0E,,,,,,6.47E+11,1.6
6/10/2003 14:11,41.8S,122.9E,,,,,,3.20E+10,0.11
5/27/2003 23:32,5.2N,166.2E,,,,,,6.80E+10,0.22
5/15/2003 6:28,54.0N,80.4W,,,,,,4.30E+10,0.14
4/13/2003 17:58,14.8N,64.5E,17,,,,,1.75E+11,0.5
4/7/2003 9:25,18.4S,162.6E,,,,,,2.20E+10,0.079
3/27/2003 5:50,41.4N,87.7W,45,,,,,1.42E+11,0.41
2/25/2003 23:13,40.0N,116.0E,,,,,,3.30E+10,0.11
2/12/2003 2:37,31.5S,107.5E,,,,,,1.20E+11,0.36
2/6/2003 17:00,62.9S,113.9W,,,,,,1.97E+11,0.55
2/4/2003 14:07,59.9S,41.0E,,,,,,1.35E+11,0.4
11/21/2002 0:11,1.4S,154.0W,,,,,,2.40E+11,0.66
11/12/2002 21:49,21.1S,6.8W,,,,,,4.30E+10,0.14
11/10/2002 22:13,16.0N,166.0W,,,,,,4.60E+11,1.2
10/9/2002 12:00,4.3S,175.9W,,,,,,4.90E+10,0.16
9/24/2002 16:48,57.9N,112.9E,,,,,,8.60E+11,2
8/14/2002 7:48,6.9S,126.2W,,,,,,9.00E+10,0.28
8/11/2002 20:42,18.2S,159.4E,,,,,,1.51E+12,3.3
7/25/2002 15:57,28.7S,47.0E,,,,,,2.30E+11,0.63
7/22/2002 11:16,34.0N,106.1E,,,,,,5.30E+10,0.17
6/13/2002 15:29,24.9S,111.4E,,,,,,1.91E+11,0.54
6/2/2002 4:28,34.0N,21.0E,,,,,,4.50E+12,8.8
4/3/2002 19:10,5.3S,27.1E,,,,,,1.82E+11,0.51
3/18/2002 14:44,60.4S,120.5W,,,,,,2.00E+10,0.073
3/9/2002 1:20,6.9N,147.3W,,,,,,2.49E+11,0.68
3/3/2002 21:10,37.5N,154.0E,,,,,,8.20E+10,0.25
3/1/2002 3:53,29.2N,66.8W,,,,,,3.80E+10,0.13
2/9/2002 19:50,17.7S,138.7E,,,,,,7.00E+10,0.22
2/1/2002 19:07,60.7N,116.6E,,,,,,7.00E+10,0.22
1/20/2002 16:42,48.4N,165.0W,,,,,,1.04E+11,0.31
10/27/2001 19:20,52.7N,3.8E,,,,,,3.60E+10,0.12
7/26/2001 21:20,0.4N,84.8E,,,,,,3.26E+11,0.86
7/23/2001 22:19,41.0N,77.0W,,,,,,1.24E+12,2.8
4/23/2001 6:12,28.0N,133.6W,29,,,,,4.60E+12,9
4/13/2001 0:29,15.3S,162.4E,,,,,,2.51E+11,0.68
2/4/2001 5:53,64.0S,97.3E,,,,,,1.51E+11,0.44
1/28/2001 16:19,66.0N,31.3E,,,,,,1.08E+11,0.32
12/15/2000 13:22,41.3N,95.2E,,,,,,2.62E+11,0.71
12/15/2000 3:46,50.4N,58.9E,,,,,,2.70E+10,0.095
11/13/2000 0:28,13.6S,5.8W,,,,,,6.60E+10,0.21
11/6/2000 7:18,52.0S,22.2W,,,,,,6.90E+10,0.22
10/11/2000 23:29,31.7S,5.5W,,,,,,8.10E+10,0.25
9/23/2000 4:00,58.5S,142.6E,,,,,,2.20E+10,0.079
9/19/2000 22:12,3.2S,133.8W,,,,,,8.90E+10,0.27
8/25/2000 1:12,14.5N,106.1W,,,,,,1.39E+12,3.1
8/13/2000 3:00,36.7N,127.8W,,,,,,6.50E+10,0.21
8/1/2000 16:48,50.2S,101.9W,,,,,,1.82E+11,0.51
7/31/2000 7:06,15.7N,138.5W,,,,,,3.80E+10,0.13
7/19/2000 17:40,17.7S,94.1E,,,,,,1.07E+11,0.32
7/7/2000 1:34,15.0N,140.7E,,,,,,6.50E+10,0.21
6/27/2000 10:06,34.9N,36.8E,,,,,,2.70E+10,0.095
6/23/2000 9:03,69.2N,44.0W,,,,,,2.00E+10,0.073
6/22/2000 20:02,32.9N,159.0E,,,,,,3.00E+10,0.1
6/14/2000 16:39,28.1N,107.3E,48,,,,,1.45E+11,0.42
6/3/2000 3:24,36.8N,74.8W,,,,,,3.00E+10,0.1
6/2/2000 18:44,27.5S,18.9W,,,,,,3.00E+10,0.1
5/6/2000 11:51,49.9N,18.4E,,,,,,2.80E+10,0.098
5/3/2000 10:40,5.0S,73.0E,,,,,,5.90E+10,0.19
3/28/2000 15:27,1.0N,98.3E,,,,,,6.30E+10,0.2
3/6/2000 8:29,58.0N,175.0E,,,,,,9.60E+11,2.2
2/18/2000 9:25,0.9S,109.2E,,,,,,3.62E+12,7.3
2/17/2000 14:22,14.2N,115.9E,,,,,,2.20E+10,0.079
1/18/2000 16:43,60.3N,134.6W,,,,,,1.05E+12,2.4
1/18/2000 8:33,24.3N,94.9W,,,,,,3.50E+10,0.12
12/16/1999 0:07,26.5S,11.3W,,,,,,6.70E+10,0.21
11/15/1999 20:01,8.1S,75.4E,,,,,,7.40E+10,0.23
11/7/1999 17:53,2.3S,77.4W,,,,,,8.90E+10,0.27
10/26/1999 17:19,13.7N,70.8W,,,,,,8.60E+10,0.27
9/8/1999 23:55,22.4N,0.2E,,,,,,2.80E+10,0.098
9/8/1999 14:41,32.5N,104.6E,32,,,,,9.00E+10,0.28
8/16/1999 5:18,35.0N,107.2W,,,,,,3.60E+10,0.12
8/3/1999 18:25,64.7S,18.8W,,,,,,3.56E+11,0.93
7/10/1999 8:11,37.8S,39.6E,52,,,,,3.26E+11,0.86
7/7/1999 4:14,39.5S,174.4E,,,,,,1.40E+11,0.41
6/25/1999 6:27,50.0N,121.0E,69,,,,,1.24E+11,0.37
5/23/1999 7:02,16.4S,116.3W,,,,,,2.60E+10,0.092
4/26/1999 11:33,22.5S,6.5E,,,,,,9.20E+10,0.28
4/26/1999 9:49,32.8S,159.1E,,,,,,3.30E+10,0.11
3/31/1999 23:54,17.9S,22.6E,,,,,,2.34E+11,0.64
3/28/1999 15:37,0.8N,97.6E,,,,,,3.04E+11,0.81
3/2/1999 22:23,18.9N,50.5E,,,,,,5.90E+10,0.19
2/18/1999 23:15,54.9S,64.6W,,,,,,1.54E+11,0.44
